Location_Name,Location_Identifier,Latitude,Longitude
SC01306610BCC ARAPMAS12,USGS-385602104462501,38.93388889,-104.7736667
SC01706505DBA HRMW-02,USGS-383557104411301,38.59916471,-104.687473
SC01206409CAC QAL51,USGS-390104104335901,39.01787778,-104.5664278
"LITTLE FOUNTAIN CR ABV HWY 115 AT FORT CARSON, CO",USGS-384048104510401,38.67997222,-104.8512444
SC02006419BBD,USGS-381755104362001,38.29872222,-104.6054167
"CHICOSA CREEK NEAR FOWLER, CO.",USGS-07117600,38.14917143,-104.0802394
"CHEYENNE CREEK AT EVANS AVE AT COLORADO SPRINGS,CO",USGS-07105490,38.79054685,-104.8641404
SC01606636AAA FC-2,USGS-383621104430801,38.60583122,-104.7194181
"TIMPAS CREEK AT HIGHWAY 50 AT SWINK, CO",USGS-380111103382101,38.02111965,-103.639669
SC01106630BDD ARAPMAS11,USGS-390356104492001,39.06558333,-104.8222778
SC01406401CAB1,USGS-385136104303801,38.86016389,-104.5114028
"WEST MONUMENT CREEK AT U.S. AIR FORCE ACADEMY, CO",USGS-07103800,38.97054766,-104.902758
"CF&I STEEL CORP OUTFALL NEAR PUEBLO, CO",USGS-381530104333200,38.25833605,-104.5594172
SC01906232BCC  ODMW-01,USGS-382117104215801,38.35472265,-104.3666341
SC01506207ADB,USGS-384544104222001,38.7621,-104.3723556
"ARKANSAS RIVER BELOW HIGHWAY 227 AT PUEBLO, COLO.",USGS-381510104350601,38.25278061,-104.5855292
SC01706506AAA SC-3,USGS-383622104420601,38.60610903,-104.7021955
"ADOBE CREEK AT HWY 194 NR LAS ANIMAS, CO",USGS-380506103183801,38.08500673,-103.3110443
SC02504211BBB,USGS-375347102065701,37.89640026,-102.1162952
SC01406512DAD LFHMAS07,USGS-385036104364101,38.84352778,-104.6113889
SC01506611CDD2 U-12,USGS-384513104445302,38.75360661,-104.7485834
SC01306303ABD,USGS-385712104260201,38.95207222,-104.4301111
"GREENHORN CREEK NEAR RYE, CO.",USGS-07107900,37.92056386,-104.9563783
SC01506611BCD2 V-3,USGS-384535104450801,38.75971756,-104.7527502
SC01606529DDC HRLC-12,USGS-383720104410601,38.62221995,-104.6855282
FOUNTAIN CR DRAIN NR S TEJON ST AT CO SPRNG(CLVRT),USGS-384859104492601,38.81633333,-104.8240278
PINE CR DRAIN AT N UNION BLVD N PARK AT CO SPRGS,USGS-385759104453001,38.96638889,-104.7582778
SC01306316BAA,USGS-385530104270601,38.92504444,-104.4516889
SC01706506CAD CC-2,USGS-383545104423801,38.59583138,-104.7110847
BEAR CREEK AT INTERSTATE 25 AT COLO SPRINGS,USGS-384921104501001,38.82261111,-104.8359722
SC02006227DDD  ELMW-07,USGS-381633104184801,38.27583494,-104.3138558
ARKANSAS RIVER AT HWY 266 NEAR ROCKY FORD CO.,USGS-380352103410401,38.06445227,-103.6849481
SC02006431CCB,USGS-381532104353501,38.25894444,-104.5929444
SC02006419CDB,USGS-381754104361901,38.29847222,-104.6052222
SCO1506602BBB TH-18,USGS-384653104451901,38.78119444,-104.75625
SC01406633DAC2,USGS-384712104464701,38.78666081,-104.7802509
SC01406619DBC2,USGS-384856104491602,38.81554828,-104.8216408
"WEST FORK ANTLER CR ABV MERIDIAN RD NR FALCON, CO",USGS-385848104362801,38.98002778,-104.6077778
"SC01206727CAC USAF ACA RD 601 NR W MONUMENT CK, CO",USGS-385827104525201,38.97418611,-104.881175
"KING ARROYO AT LA JUNTA, CO.",USGS-07123050,37.98945344,-103.5316095
"ST. CHARLES RIVER AT MOUTH, NEAR PUEBLO, CO.",USGS-07109000,38.26166913,-104.4680259
SC01506611BDC3 U-11,USGS-384534104450302,38.75943984,-104.7513613
SC01706505DAB HRMW-03,USGS-383558104410501,38.59944249,-104.6852507
MONUMENT CR DRAIN 4 MARK DABLING BLVD AT CO SPRNG,USGS-385235104495101,38.87644444,-104.8308889
SC01206412CB QAL50,USGS-390058104301101,39.01599722,-104.4970111
SC01306512ADD QAL48,USGS-385613104362801,38.93709722,-104.6079722
SC01506614AAD SECURITY 2,USGS-384458104442601,38.74944004,-104.7410832
SC01206532BBC DAWMAS13,USGS-385758104414801,38.96616667,-104.6968333
"BEAVER CR ABV UPPER BEAVER CEMETERY NR PENROSE, CO",USGS-07099050,38.56166228,-105.0219257
"DOUGLAS CR SOUTH AT  MOUTH AT CO SPRINGS, CO",USGS-385257104494401,38.88244444,-104.82875
"TURKEY CREEK NR STONE CITY, CO",USGS-07099235,38.43222261,-104.8333125
SCO1506603BAC,USGS-384642104461001,38.77832788,-104.7699729
"ANDERSON ARROYO AT LA JUNTA, CO.",USGS-07122800,37.99028677,-103.5524436
"BIG SANDY CREEK NEAR LAMAR, CO.",USGS-07134100,38.11417565,-102.4838023
SC01406634DBB2,USGS-384717104455301,38.7880502,-104.7652508
SCO1416633DAC1,USGS-384712104464801,38.7866608,-104.7805286
"WEST MONUMENT CREEK BELOW RAMPART RESERVOIR, CO",USGS-07103797,38.97499176,-104.9555374
FOUNTAIN NO.1,USGS-384112104421301,38.68669444,-104.7036944
SC01406313DAA2,USGS-384936104231401,38.82666148,-104.3877426
"PINE CREEK ABV BRIARGATE PKWY,ABV COLO SPRINGS, CO",USGS-07103965,38.96750278,-104.7940167
"SC01206630BCC3 USAF ACADEMY NR S GATE 2, CO",USGS-385840104495101,38.97771111,-104.8308778
SC02305414DDD,USGS-380227103254701,38.04075,-103.42975
"DOUGLAS CREEK AT THE MOUTH AT COLORADO SPRINGS, CO",USGS-385321104493301,38.88915932,-104.8263649
"FOUNTAIN WASTEWATER OUTFALL BELOW FOUNTAIN, CO",USGS-383934104414501,38.65944162,-104.6963613
MONUMENT CR DRAIN 2 MARK DABLING BLVD AT CO SP,USGS-385303104494601,38.88425,-104.8293056
SC02106406BCA,USGS-381529104354201,38.25813889,-104.5951389
SC01506312AAC CHEROKEE 9,USGS-384547104232601,38.76305156,-104.3910756
MONUMENT CR TRIB 1 NR PULPIT ROCK AT COLO SPRGS CO,USGS-385501104483701,38.91694444,-104.8102778
PINE CR DRAIN AT PINE CR GOLF CLUB AT CO SPRINGS,USGS-385812104462601,38.97002778,-104.7739722
SC01206727CAD3 FT001-MW002S,USGS-385826104524601,38.97388889,-104.8794444
SC01706505CBB1 EP-4,USGS-383553104414901,38.5980536,-104.6974733
