Org_Identifier,Org_FormalName,ProviderName,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,Location_SourceMapScale,Location_HorzAccuracyMeasure,Location_HorzAccuracyMeasureUnit,Location_HorzCollectionMethod,Location_VerticalMeasure,Location_VerticalMeasureUnit,Location_VerticalAccuracyMeasure,Location_VerticalAccuracyMeasureUnit,Location_VertCollectionMethod,Location_VertCoordReferenceSystemDatum,Location_WellType,Location_AquiferType,Location_NationalAquifer,Location_LocalAquiferCode,Location_LocalAquiferCodeContext,Location_LocalAquifer,Location_LocalAquiferDescription,Location_AquiferFormationType,Location_WellHoleDepthMeasure,Location_WellHoleDepthUnit,Location_WellContructionDate,Location_WellDepthMeasure,Location_WellDepthMeasureUnit,Location_DrainageAreaMeasure,Location_DrainageAreaMeasureUnit,Location_ContributingDrainageAreaMeasure,Location_ContributingDrainageAreaMeasureUnit,AlternateLocation_IdentifierA,AlternateLocation_IdentifierContextA,AlternateLocation_IdentifierB,AlternateLocation_IdentifierContextB,AlternateLocation_IdentifierC,AlternateLocation_IdentifierContextC
USGS,U.S. Geological Survey,USGS,USGS-384642104440101,SCO1506601BBD TH-53,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7783286681305,-104.734139069911,NAD83,38.7783286681305,-104.734139069911,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,31.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384642104461001,SCO1506603BAC,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7783278842373,-104.769972852504,NAD83,38.7783278842373,-104.769972852504,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,82.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382028104181001,SC02006202ACC  WMW-A,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020005,110200050104,,,38.3411114273923,-104.303299540031,NAD83,38.3411114273923,-104.303299540031,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,112TERC,,Terrace Deposits,,,,,,46.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382029104223001,SC02006206ACC  OBMW-03,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3413896073687,-104.375523263136,NAD83,38.3413896073687,-104.375523263136,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,25.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-382033104223201,SC02006206ACB  OBMW-02,Well,,Colorado,United States of America,Pueblo County,US,CO,,11020004,110200040309,,,38.3425007021726,-104.376078821387,NAD83,38.3425007021726,-104.376078821387,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,27.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384650104231301,SC01506301AAA HENDERSON,Well,,Colorado,United States of America,El Paso County,US,CO,,11020004,110200040202,,,38.780551207204,-104.387464462827,NAD83,38.780551207204,-104.387464462827,NAD83,,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384651104464701,SCO1506604AAB TH-49,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7808275059006,-104.78025074255,NAD83,38.7808275059006,-104.78025074255,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,10.0,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384651104464801,SCO1506604ABA2 TH-50,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7808274961579,-104.780528522071,NAD83,38.7808274961579,-104.780528522071,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,8.5,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384652104465101,SC01506604ABA1 U-7,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030303,,,38.7811052431734,-104.781361866295,NAD83,38.7811052431734,-104.781361866295,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,N100ALLUVL,111VLFL,,Valley-Fill Deposits,,,,,,10.7,ft,,,,,,,,,,
USGS,U.S. Geological Survey,USGS,USGS-384653104451901,SCO1506602BBB TH-18,Well,,Colorado,United States of America,El Paso County,US,CO,,11020003,110200030305,,,38.7811944444444,-104.75625,NAD83,38.7811944444444,-104.75625,NAD83,24000,,,,,,,,,,,Unconfined single aquifer,,111VLFL,,Valley-Fill Deposits,,,,,,121.5,ft,,,,,,,,,,
