Beta_Location_Name,Beta_Location_Identifier,Beta_Lat,Beta_Long,Old_MonitoringLocationName,Old_MonitoringLocationIdentifier,Old_Lat,Old_Long,Distance_Degrees,Distance_Meters,Names_Match,IDs_Match
CUCHARAS RIVER NR SHEEP CROSSING (NIEBAUER RD),21COL001_WQX-7654,37.79304466,-104.5811354,CUCHARAS RIVER NR SHEEP CROSSING (NIEBAUER RD),21COL001_WQX-7654,37.793047,-104.581137,2.834713393382589e-06,0.3146531866654674,True,True
"FOUNTAIN CREEK AT CASCADE, COLORADO",21COL001_WQX-7391,38.89716228,-104.9717902,"FOUNTAIN CREEK AT CASCADE, COLORADO",21COL001_WQX-7391,38.897165,-104.971791,2.83520721986961e-06,0.31470800140552674,True,True
ADOBE CREEK RESERVOIR SITE 4 TOP,21COL001_WQX-7825D,38.27158137,-103.2298219,ADOBE CREEK RESERVOIR SITE 4 TOP,21COL001_WQX-7825D,38.271584,-103.229823,2.8507718195933002e-06,0.31643567197485634,True,True
ADOBE CREEK RESERVOIR SITE 2,21COL001_WQX-7825B1,38.27039734,-103.2364289,ADOBE CREEK RESERVOIR SITE 2,21COL001_WQX-7825B1,38.2704,-103.23643,2.8784718133817105e-06,0.31951037128536985,True,True
ADOBE CREEK RESERVOIR SITE 6 TOP,21COL001_WQX-7825F,38.2743413,-103.256384,ADOBE CREEK RESERVOIR SITE 6 TOP,21COL001_WQX-7825F,38.274344,-103.256385,2.879236005173464e-06,0.3195951965742545,True,True
ADOBE CREEK RESERVOIR SITE 5 TOP,21COL001_WQX-7825E,38.26944176,-103.2416656,ADOBE CREEK RESERVOIR SITE 5 TOP,21COL001_WQX-7825E,38.26944444,-103.2416667,2.896963926129493e-06,0.32156299580037373,True,True
ADOBE CREEK RESERVOIR SITE 1 TOP,21COL001_WQX-7825A1,38.26844732,-103.2404789,ADOBE CREEK RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7825A2,38.26845,-103.24048,2.8969639315254663e-06,0.3215629963993268,False,False
ADOBE CREEK RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7825A2,38.26844732,-103.2404789,ADOBE CREEK RESERVOIR SITE 1 TOP,21COL001_WQX-7825A1,38.26845,-103.24048,2.8969639315254663e-06,0.3215629963993268,False,False
ADOBE CREEK RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7825A2,38.26844732,-103.2404789,ADOBE CREEK RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7825A2,38.26845,-103.24048,2.8969639315254663e-06,0.3215629963993268,True,True
ADOBE CREEK RESERVOIR SITE 1 TOP,21COL001_WQX-7825A1,38.26844732,-103.2404789,ADOBE CREEK RESERVOIR SITE 1 TOP,21COL001_WQX-7825A1,38.26845,-103.24048,2.8969639315254663e-06,0.3215629963993268,True,True
MONUMENT CREEK BELOW CONFLUENCE W/ WEST MONUMENT CREEK,21COL001_WQX-7381,38.93374435,-104.8169658,MONUMENT CREEK BELOW CONFLUENCE W/ WEST MONUMENT CREEK,21COL001_WQX-7381,38.933747,-104.816967,2.9090376405637493e-06,0.3229031781025762,True,True
ADOBE CREEK RESERVOIR,21COL001_WQX-CPW-001A,38.27043226,-103.2624057,ADOBE CREEK RESERVOIR,21COL001_WQX-CPW-001A,38.270435,-103.2624067,2.9167790439637287e-06,0.32376247387997387,True,True
HOLBROOK LAKE SITE 1 TOP,21COL001_WQX-7526H1,38.0622,-103.609394,Holbrook Reservoir,NARS_WQX-NLA06608-0228,38.06219707,-103.6093941,2.9317059820123977e-06,0.3254193640033761,False,False
JOHN MARTIN RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7521B,38.0673979,-102.9436279,JOHN MARTIN RESERVOIR SITE 1 TOP,21COL001_WQX-7521A,38.0674,-102.94363,2.969848480519367e-06,0.32965318133764976,False,False
JOHN MARTIN RESERVOIR SITE 1 TOP,21COL001_WQX-7521A,38.0673979,-102.9436279,JOHN MARTIN RESERVOIR SITE 1 TOP,21COL001_WQX-7521A,38.0674,-102.94363,2.969848480519367e-06,0.32965318133764976,True,True
JOHN MARTIN RESERVOIR SITE 1 TOP,21COL001_WQX-7521A,38.0673979,-102.9436279,JOHN MARTIN RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7521B,38.0674,-102.94363,2.969848480519367e-06,0.32965318133764976,False,False
JOHN MARTIN RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7521B,38.0673979,-102.9436279,JOHN MARTIN RESERVOIR SITE 1 BOTTOM,21COL001_WQX-7521B,38.0674,-102.94363,2.969848480519367e-06,0.32965318133764976,True,True
UNNAMED CREEK AT HWY 24 IN FALCON,21COL001_WQX-7835H,38.93437433,-104.6064535,UNNAMED CREEK AT HWY 24 IN FALCON,21COL001_WQX-7835H,38.934377,-104.606455,3.0624989783021657e-06,0.3399373865915404,True,True
"COLOSU, Monument Creek station:COLOSU_JDPWWTF_UPSTRM",21COL001_WQX-CO0046850-U/S,38.91777523,-104.8180546,"COLOSU, Monument Creek station:COLOSU_JDPWWTF_UPSTRM",21COL001_WQX-CO0046850-U/S,38.917778,-104.818056,3.103691353225403e-06,0.3445097402080197,True,True
JOHN MARTIN RESERVOIR SITE 2 BOTTOM,21COL001_WQX-7524B,38.06643775,-102.9872378,JOHN MARTIN RESERVOIR SITE 2 BOTTOM,21COL001_WQX-7524B,38.06644,-102.98724,3.146823794634386e-06,0.34929744120441686,True,True
JOHN MARTIN RESERVOIR SITE 2 TOP,21COL001_WQX-7524A,38.06643775,-102.9872378,JOHN MARTIN RESERVOIR SITE 2 BOTTOM,21COL001_WQX-7524B,38.06644,-102.98724,3.146823794634386e-06,0.34929744120441686,False,False
JOHN MARTIN RESERVOIR SITE 2 TOP,21COL001_WQX-7524A,38.06643775,-102.9872378,JOHN MARTIN RESERVOIR SITE 2 TOP,21COL001_WQX-7524A,38.06644,-102.98724,3.146823794634386e-06,0.34929744120441686,True,True
JOHN MARTIN RESERVOIR SITE 2 BOTTOM,21COL001_WQX-7524B,38.06643775,-102.9872378,JOHN MARTIN RESERVOIR SITE 2 TOP,21COL001_WQX-7524A,38.06644,-102.98724,3.146823794634386e-06,0.34929744120441686,False,False
FOUNTAIN CREEK NEAR MANITOU,21COL001_WQX-000017,38.86687204,-104.9238789,FOUNTAIN CREEK NEAR MANITOU,21COL001_WQX-000017,38.866875,-104.92388,3.157784033318331e-06,0.3505140276983348,True,True
McReynolds Reservoir,NARS_WQX-NLA06608-0276,38.77636777,-105.0043912,McReynolds Reservoir,NARS_WQX-NLA06608-0276,38.77637097,-105.0043919,3.275667872886746e-06,0.3635991338904288,True,True
"WMHMD, station:WMHMD_DWNSTRM",21COL001_WQX-CO0047091-D/S,38.91113316,-104.5829733,"WMHMD, station:WMHMD_DWNSTRM",21COL001_WQX-CO0047091-D/S,38.911136,-104.582975,3.3099244701247268e-06,0.36740161618384465,True,True
"COLOSU, station:COLOSU_JDPWWTF_EFF",21COL001_WQX-CO0046850-EFF,38.88999702,-104.8249985,"COLOSU, station:COLOSU_JDPWWTF_EFF",21COL001_WQX-CO0046850-EFF,38.89,-104.825,3.3362254084491394e-06,0.37032102033785447,True,True
ARKANSAS R. @ PORTLAND @ HWY 120,21COL001_WQX-7280,38.38854467,-105.0159783,ARKANSAS R. @ PORTLAND @ HWY 120,21COL001_WQX-7280,38.388548,-105.015978,3.3434862026447695e-06,0.3711269684935694,True,True
Arkansas River D/S CO0039748 Rainbow Park Regional WWTF Effluent,21COL001_WQX-CO0039748-D/S,38.38819567,-105.0159993,Arkansas River D/S CO0039748 Rainbow Park Regional WWTF Effluent,21COL001_WQX-CO0039748-D/S,38.388199,-105.015999,3.3434862039198624e-06,0.37112696863510475,True,True
MESA CREEK BELOW UNNAMED TRIBUTARY,21COL001_WQX-7332,38.86418486,-104.8422764,MESA CREEK BELOW UNNAMED TRIBUTARY,21COL001_WQX-7332,38.864188,-104.842278,3.5241452792755537e-06,0.39118012599958646,True,True
UNNAMED TRIBUTARY ABOVE MESA CREEK,21COL001_WQX-7331,38.86430386,-104.8441454,UNNAMED TRIBUTARY ABOVE MESA CREEK,21COL001_WQX-7331,38.864307,-104.844147,3.5241452857274354e-06,0.3911801267157453,True,True
MESA CREEK ABOVE UNNAMED TRIBUTARY,21COL001_WQX-7330,38.86347586,-104.8459754,MESA CREEK ABOVE UNNAMED TRIBUTARY,21COL001_WQX-7330,38.863479,-104.845977,3.5241452857274354e-06,0.3911801267157453,True,True
BRECKENRIDGE CREEK AT HWY 71,21COL001_WQX-7826,38.36395945,-103.7237032,BRECKENRIDGE CREEK AT HWY 71,21COL001_WQX-7826,38.363963,-103.723703,3.5556293349514795e-06,0.39467485617961423,True,True
Ft. Lyon Supportive Residential Community WWTF Outfall,21COL001_WQX-CO0046311-EFF,38.07194106,-103.129581,Ft. Lyon Supportive Residential Community WWTF Outfall,21COL001_WQX-CO0046311-EFF,38.071944,-103.129583,3.5557840189800965e-06,0.3946920261067907,True,True
ROSEMONT RESERVOIR,21COL001_WQX-CPW-163,38.73259981,-104.9597171,ROSEMONT RESERVOIR,21COL001_WQX-CPW-163,38.73260333,-104.9597183,3.7189245756013853e-06,0.41280062789175376,True,True
CO0047252 Sunset MD Ellicot Springs WWTF Effluent,21COL001_WQX-CO0047252-EFF,38.75288884,-104.392828,CO0047252 Sunset MD Ellicot Springs WWTF Effluent,21COL001_WQX-CO0047252-EFF,38.752892,-104.39283,3.7397326204480213e-06,0.4151103208697304,True,True
RULE CREEK @ BB ROAD,21COL001_WQX-7858,37.99901413,-103.0783976,RULE CREEK @ BB ROAD,21COL001_WQX-7858,37.999017,-103.0784,3.7412431109643103e-06,0.41527798531703847,True,True
UNNAMED CREEK AT BAR 10 RD,21COL001_WQX-7835E,38.76369381,-104.404499,UNNAMED CREEK AT BAR 10 RD,21COL001_WQX-7835E,38.763697,-104.404501,3.7651161982657768e-06,0.41792789800750124,True,True
ST CHARLES RIVER AT S ROAD,21COL001_WQX-7503A,38.22664435,-104.499517,ST CHARLES RIVER AT S ROAD,21COL001_WQX-7503A,38.226648,-104.499518,3.7845078899605985e-06,0.42008037578562646,True,True
HORSE CREEK RESERVOIR (TIMBER),21COL001_WQX-CPW-158,38.19098799,-103.4047474,HORSE CREEK RESERVOIR (TIMBER),21COL001_WQX-CPW-158,38.19099167,-103.4047483,3.7884561463534086e-06,0.42051863224522834,True,True
SALT CK AT HWY 50,21COL001_WQX-7298A1,38.24589627,-104.5894163,SALT CK AT HWY 50,21COL001_WQX-7298A1,38.2459,-104.589417,3.7951152777664498e-06,0.4212577958320759,True,True
